"Card Name","Card Description","Labels","List Name","Checklist Items"
"Epic 0, Story 1: Repository & Development Environment Setup","**Story:** *As a developer, I want a properly configured development environment so that the team can start building features efficiently.*

**File:** epic-0-story-1-repository-setup.md
**Effort:** 
**Priority:** ","Epic 0","Backlog",""
"Epic 0, Story 2: CI/CD Pipeline Configuration","**Story:** *As a developer, I want automated testing and deployment so that code quality is maintained and deployments are reliable.*

**File:** epic-0-story-2-cicd-pipeline.md
**Effort:** 
**Priority:** ","Epic 0","Backlog",""
"Epic 0, Story 3: Database Schema & Initial Models","**Story:** *As a developer, I want a well-designed database schema so that we can efficiently store and query application data.*

**File:** epic-0-story-3-database-schema.md
**Effort:** 
**Priority:** ","Epic 0","Backlog",""
"Epic 0, Story 4: Deployment Infrastructure Setup","**Story:** *As a DevOps engineer, I want a reliable deployment infrastructure so that the application can be deployed and scaled efficiently.*

**File:** epic-0-story-4-deployment-infrastructure.md
**Effort:** 
**Priority:** ","Epic 0","Backlog",""
"Epic 1: Foundation, Provider Management & Subscriptions","

**File:** epic-1-story-1-initial-project-setup.md
**Effort:** 
**Priority:** ","Epic 1","Backlog",""
"Epic 1: Foundation, Provider Management & Subscriptions","

**File:** epic-1-story-2-user-account-system.md
**Effort:** 
**Priority:** ","Epic 1","Backlog",""
"Epic 1: Foundation, Provider Management & Subscriptions","

**File:** epic-1-story-3-subscription-payment-integration.md
**Effort:** 
**Priority:** ","Epic 1","Backlog",""
"Epic 1: Foundation, Provider Management & Subscriptions","

**File:** epic-1-story-4-subscription-lifecycle-management.md
**Effort:** 
**Priority:** ","Epic 1","Backlog",""
"Epic 1: Foundation, Provider Management & Subscriptions","

**File:** epic-1-story-5-manual-provider-onboarding.md
**Effort:** 
**Priority:** ","Epic 1","Backlog",""
"Epic 1: Foundation, Provider Management & Subscriptions","

**File:** epic-1-story-6-crawler-assisted-data-entry.md
**Effort:** 
**Priority:** ","Epic 1","Backlog",""
"Epic 1: Foundation, Provider Management & Subscriptions","

**File:** epic-1-story-7-automated-data-refresh.md
**Effort:** 
**Priority:** ","Epic 1","Backlog",""
"Epic 2, Story 2.1: Search & Filter Interface","## User Story

**File:** epic-2-story-1-search-filter-interface.md
**Effort:** 
**Priority:** ","Epic 2,M2: Core Features","Backlog","Date ranges (school holiday periods); Activity type (sports, arts, educational, etc.); Child's age or age range; Search results list view; Interactive map view; Filter sidebar/drawer"
"Epic 2, Story 2.2: Display Program Search Results","## User Story

**File:** epic-2-story-2-display-search-results.md
**Effort:** 
**Priority:** ","Epic 2,M2: Core Features","Backlog","Provider name and vetted badge; Program title and brief description; Age range; Dates/schedule; Price range; Location/distance; Activity type icons; Distance (default); Price (low to high, high to low); Age suitability; Dates"
"Epic 2, Story 2.3: Interactive Map View","## User Story

**File:** epic-2-story-3-interactive-map-view.md
**Effort:** 
**Priority:** ","Epic 2,M2: Core Features","Backlog","Default state; Hover state with preview; Selected/active state; Highlights the corresponding program in the list view; Shows a popup with key program details; Provides link to full details; Zoom in/out; Reset to results view; Toggle to fullscreen; Current location button"
"Epic 2, Story 2.4: Detailed Provider Profile Page","## User Story

**File:** epic-2-story-4-provider-profile-page.md
**Effort:** 
**Priority:** ","Epic 2,M2: Core Features","Backlog","Provider name and logo; "Vetted by Holiday Programs" badge prominently displayed; Full program description; Age ranges and requirements; Dates, times, and duration; Pricing details (including any discounts); Location with embedded mini-map; Photos/gallery if available; What to bring/prepare; Cancellation policy; Contact information"
"Epic 3, Story 3.1: User Preference Center","## User Story

**File:** epic-3-story-1-user-preference-center.md
**Effort:** 
**Priority:** ","Epic 3,M3: Enhanced UX","Backlog","Set and save their preferred search radius (km from location); Enter multiple locations (home, work, grandparents); Select preferred activity types with multi-select; Enter children's details (name/nickname, age/DOB); Set communication preferences (email frequency); Choose preferred days of the week; Set budget preferences (optional)"
"Epic 3, Story 3.2: Proactive Email Generation","## User Story

**File:** epic-3-story-2-proactive-email-generation.md
**Effort:** 
**Priority:** ","Epic 3,M3: Enhanced UX","Backlog","Retrieves the user's saved preferences; Identifies the upcoming school holiday period; Queries for matching programs within preferences; Applies smart ranking algorithm considering:; Distance from preferred locations; Match with activity preferences; Age appropriateness; Previous engagement (if available); Program popularity; No preferences set (use defaults); No matches found (expand search criteria); Insufficient matches (include "similar" programs)"
"Epic 3, Story 3.3: Email Delivery & Scheduling","## User Story

**File:** epic-3-story-3-email-delivery-scheduling.md
**Effort:** 
**Priority:** ","Epic 3,M3: Enhanced UX","Backlog","Personalized greeting with child names; Clear "Your Holiday Program Suggestions" header; 5-10 program cards with key details; CTA buttons for each program; Unsubscribe and preference update links; Company branding and footer; 4 weeks before each school holiday period; Reminder email 2 weeks before (if enabled); Respects user timezone for sending time; Bounce handling; Open/click tracking; Unsubscribe handling; Suppression list management; Sending progress and stats; Open/click rates; Failed deliveries; Manual re-send options"
"Epic 4: Security, SRE & Observability","

**File:** epic-4-story-1-security-headers-csp.md
**Effort:** 
**Priority:** ","Epic 4","Backlog","Content Security Policy (CSP) with strict directives; X-Frame-Options: DENY; X-Content-Type-Options: nosniff; Strict-Transport-Security with preload; Referrer-Policy: strict-origin-when-cross-origin"
"Epic 4: Security, SRE & Observability","## Incident Summary

**File:** epic-4-story-10-incident-response.md
**Effort:** 
**Priority:** ","Epic 4","Backlog","Database outage; Payment processing failures; Authentication service issues; High error rates; Performance degradation"
"Epic 4: Security, SRE & Observability","

**File:** epic-4-story-11-vulnerability-scanning.md
**Effort:** 
**Priority:** ","Epic 4","Backlog",""
"Epic 4: Security, SRE & Observability","

**File:** epic-4-story-12-performance-testing.md
**Effort:** 
**Priority:** ","Epic 4","Backlog",""
"Epic 4, Story 13: Basic Alerting System (Free Tier Addition)","**Story:** *As an on-call engineer, I want simple alerting without paid services, so that I'm notified of critical issues immediately.*

**File:** epic-4-story-13-basic-alerting.md
**Effort:** 
**Priority:** ","Epic 4","Backlog",""
"Epic 4, Story 14: Log Rotation & Retention (Free Tier Addition)","**Story:** *As a developer, I want cost-effective log management, so that we can debug issues without expensive log services.*

**File:** epic-4-story-14-log-rotation.md
**Effort:** 
**Priority:** ","Epic 4","Backlog",""
"Epic 4, Story 15: Simple Monitoring Dashboard (Free Tier Addition)","**Story:** *As a team member, I want a basic monitoring dashboard, so that I can see system health at a glance.*

**File:** epic-4-story-15-monitoring-dashboard.md
**Effort:** 
**Priority:** ","Epic 4","Backlog",""
